Object_ID, Length, Assignment
M03424:106:000000000-AU667:1:1106:12740:13460/1,103,NA
M03424:106:000000000-AU667:1:1106:13428:4715/1,76,NA
M03424:106:000000000-AU667:1:1106:13913:2932/1,300,NA
M03424:106:000000000-AU667:1:1106:13963:20160/1,46,NA
M03424:106:000000000-AU667:1:1106:14104:17079/1,41,NA
M03424:106:000000000-AU667:1:1106:14107:1831/1,299,NA
M03424:106:000000000-AU667:1:1106:14118:9271/1,65,NA
M03424:106:000000000-AU667:1:1106:14571:2990/1,46,NA
M03424:106:000000000-AU667:1:1106:14733:23738/1,301,NA
M03424:106:000000000-AU667:1:1106:15477:11408/1,300,NA
M03424:106:000000000-AU667:1:1106:16229:24536/1,301,NA
M03424:106:000000000-AU667:1:1106:17483:24168/1,301,NA
M03424:106:000000000-AU667:1:1106:17505:17222/1,100,NA
M03424:106:000000000-AU667:1:1106:17647:15311/1,44,NA
M03424:106:000000000-AU667:1:1106:17660:20686/1,118,NA
M03424:106:000000000-AU667:1:1106:18088:20105/1,35,NA
M03424:106:000000000-AU667:1:1106:18395:11006/1,79,NA
M03424:106:000000000-AU667:1:1106:19064:20929/1,107,NA
M03424:106:000000000-AU667:1:1106:19125:19096/1,35,NA
M03424:106:000000000-AU667:1:1106:19390:24142/1,35,NA
M03424:106:000000000-AU667:1:1106:19568:8186/1,77,NA
M03424:106:000000000-AU667:1:1106:20429:15317/1,98,NA
M03424:106:000000000-AU667:1:1106:20469:24736/1,44,NA
M03424:106:000000000-AU667:1:1106:20751:11110/1,133,NA
M03424:106:000000000-AU667:1:1106:21388:15648/1,301,1805714
M03424:106:000000000-AU667:1:1106:21787:3625/1,131,NA
M03424:106:000000000-AU667:1:1106:21909:18906/1,301,1805714
M03424:106:000000000-AU667:1:1106:22056:20549/1,299,NA
